date,stock_id,open,close,volume,avg_sentiment,news_count,return_3d,sentiment_level,return_level,signal
2026-02-23,2454,1880.0,1795.0,17358721,0.3352367647058823,68,,⚪ 中性,無資料,—
2026-02-24,2454,1810.0,1825.0,7063638,0.73856,40,,🟢🟢 極度樂觀,無資料,—
2026-02-25,2454,1840.0,1870.0,8467982,0.64289,160,,🟢🟢 極度樂觀,無資料,—
2026-02-26,2454,1895.0,1945.0,14552360,0.5015850000000001,100,0.08356545961002786,⚪ 中性,小漲,⚪ 正常
2026-03-02,2454,1945.0,1900.0,9622026,0.4232396,250,0.0410958904109589,⚪ 中性,平盤震盪,⚪ 正常
2026-03-03,2454,1900.0,1815.0,11048054,0.448160909090909,110,-0.029411764705882353,⚪ 中性,小跌,⚪ 正常
2026-03-04,2454,1760.0,1720.0,12334830,0.5912166666666666,30,-0.11568123393316196,🟢 偏多,📉 大跌,⚪ 正常
2026-03-05,2454,1760.0,1775.0,8337045,0.488508,50,-0.06578947368421052,⚪ 中性,📉 大跌,⚪ 正常
2026-03-06,2454,1745.0,1765.0,4669229,-0.12674,10,-0.027548209366391185,🔴 極度悲觀,平盤震盪,⚪ 正常
2026-03-09,2454,1620.0,1665.0,12529102,0.6329766666666666,30,-0.03197674418604651,🟢🟢 極度樂觀,小跌,🟡 觀望（樂觀但股價不買單）
2026-03-10,2454,1730.0,1705.0,5620606,0.1998458064516129,310,-0.03943661971830986,🟠 偏空,小跌,⚪ 正常
2026-03-11,2454,1760.0,1765.0,6109945,0.2888685,200,0.0,⚪ 中性,平盤震盪,⚪ 正常
2026-03-12,2454,1745.0,1785.0,6611202,0.424995,20,0.07207207207207207,⚪ 中性,小漲,⚪ 正常
2026-03-13,2454,1730.0,1720.0,7254798,0.4665499999999999,10,0.008797653958944282,⚪ 中性,平盤震盪,⚪ 正常
2026-03-16,2454,1720.0,1710.0,4716006,0.2936975,40,-0.031161473087818695,⚪ 中性,小跌,⚪ 正常
2026-03-17,2454,1730.0,1730.0,4685106,0.50998,10,-0.03081232492997199,⚪ 中性,小跌,⚪ 正常
2026-03-18,2454,1730.0,1730.0,6292375,0.558305,60,0.005813953488372093,🟢 偏多,平盤震盪,⚪ 正常
2026-03-19,2454,1700.0,1680.0,8011625,0.4848925,40,-0.017543859649122806,⚪ 中性,平盤震盪,⚪ 正常
2026-03-20,2454,1685.0,1700.0,8267553,0.2308066666666666,30,-0.017341040462427744,🟠 偏空,平盤震盪,⚪ 正常
2026-03-23,2454,1630.0,1625.0,7225878,0.5314566666666667,30,-0.06069364161849711,⚪ 中性,📉 大跌,⚪ 正常
2026-03-24,2454,1655.0,1620.0,5766587,0.41003,10,-0.03571428571428571,⚪ 中性,小跌,⚪ 正常
2026-03-25,2454,1665.0,1620.0,6144537,0.546882,50,-0.047058823529411764,⚪ 中性,小跌,⚪ 正常
2026-03-26,2454,1610.0,1590.0,7833984,0.3229925,80,-0.021538461538461538,⚪ 中性,平盤震盪,⚪ 正常
2026-03-27,2454,1560.0,1585.0,7673536,0.4889718181818182,110,-0.021604938271604937,⚪ 中性,平盤震盪,⚪ 正常
2026-03-30,2454,1540.0,1510.0,8234525,0.28699625,80,-0.06790123456790123,⚪ 中性,📉 大跌,⚪ 正常
2026-03-31,2454,1525.0,1490.0,11429002,0.1119917647058823,170,-0.06289308176100629,🔴 極度悲觀,📉 大跌,🟢 綠燈（恐慌超賣，反彈機率高）
2026-04-01,2454,1550.0,1465.0,11745526,0.0549391666666666,120,-0.07570977917981073,🔴 極度悲觀,📉 大跌,🟢 綠燈（恐慌超賣，反彈機率高）
2026-04-02,2454,1500.0,1465.0,9301597,0.0097957692307692,260,-0.029801324503311258,🔴 極度悲觀,小跌,⚪ 正常
2026-04-07,2454,1480.0,1470.0,7645561,0.5050847368421052,190,-0.013422818791946308,⚪ 中性,平盤震盪,⚪ 正常
2026-04-08,2454,1520.0,1580.0,14575742,0.438512,100,0.07849829351535836,⚪ 中性,小漲,⚪ 正常
2026-04-09,2454,1600.0,1575.0,8422977,0.38653,50,0.07508532423208192,⚪ 中性,小漲,⚪ 正常
2026-04-10,2454,1600.0,1575.0,5738781,0.7088375,240,0.07142857142857142,🟢🟢 極度樂觀,小漲,⚪ 正常
2026-04-13,2454,1645.0,1620.0,9234745,0.664280625,160,0.02531645569620253,🟢🟢 極度樂觀,平盤震盪,⚪ 正常
2026-04-14,2454,1645.0,1720.0,12902742,0.7216377777777778,90,0.09206349206349207,🟢🟢 極度樂觀,小漲,⚪ 正常
2026-04-15,2454,1805.0,1790.0,22780413,0.5867055555555556,90,0.1365079365079365,🟢 偏多,📈 大漲,⚪ 正常
2026-04-16,2454,1850.0,1895.0,17931934,0.619021052631579,209,0.1697530864197531,🟢 偏多,📈 大漲,⚪ 正常
2026-04-17,2454,1930.0,1925.0,16759982,0.6357942857142858,140,0.11918604651162791,🟢🟢 極度樂觀,📈 大漲,🔴 紅燈（利多出盡，追高風險大）
2026-04-20,2454,1960.0,1900.0,11656022,0.2225657142857142,140,0.061452513966480445,🟠 偏空,小漲,⚪ 正常
2026-04-21,2454,1930.0,2090.0,19459855,0.5835800925925926,648,0.10290237467018469,🟢 偏多,小漲,⚪ 正常
2026-04-22,2454,2120.0,2295.0,24343038,0.6238020833333333,720,0.19220779220779222,🟢 偏多,📈 大漲,⚪ 正常
2026-04-23,2454,2325.0,2215.0,29760982,0.703372972972973,259,0.16578947368421051,🟢🟢 極度樂觀,📈 大漲,🔴 紅燈（利多出盡，追高風險大）
2026-04-24,2454,2340.0,2435.0,22985015,0.6593362270450751,599,0.16507177033492823,🟢🟢 極度樂觀,📈 大漲,🔴 紅燈（利多出盡，追高風險大）
2026-04-27,2454,2470.0,2435.0,25538897,0.5608217798594848,427,0.06100217864923747,🟢 偏多,小漲,⚪ 正常
2026-04-28,2454,2490.0,2615.0,24314216,0.4776185580774366,749,0.18058690744920994,⚪ 中性,📈 大漲,⚪ 正常
2026-04-29,2454,2550.0,2575.0,13156720,0.4558352435530086,349,0.057494866529774126,⚪ 中性,平盤震盪,⚪ 正常
2026-04-30,2454,2665.0,2610.0,17532158,0.6036064720812183,788,0.07186858316221766,🟢 偏多,小漲,⚪ 正常
2026-05-04,2454,2870.0,2870.0,4019865,0.7144525107604017,697,0.09751434034416825,🟢🟢 極度樂觀,小漲,⚪ 正常
2026-05-05,2454,3155.0,3155.0,10091886,0.5419003359462486,893,0.22524271844660193,⚪ 中性,📈 大漲,⚪ 正常
2026-05-06,2454,3470.0,3430.0,39638460,0.2703083210603829,1358,0.31417624521072796,🟠 偏空,📈 大漲,⚪ 正常
2026-05-07,2454,3430.0,3420.0,8465341,0.1444848383500557,897,0.1916376306620209,🟠 偏空,📈 大漲,⚪ 正常
2026-05-08,2454,3320.0,3630.0,9525653,0.3426711246200608,658,0.15055467511885895,⚪ 中性,📈 大漲,⚪ 正常
